Code;Libellé;Médiane du revenu disponible par UC 2018;Part des revenus d'activité 2018;
01366;Sainte-Julie;24410;N/A
01367;Saint-Julien-sur-Reyssouze;20360;N/A
01368;Saint-Julien-sur-Veyle;22290;N/A
01369;Saint-Just;25310;N/A
01370;Saint-Laurent-sur-Saône;18780;N/A
01371;Saint-Marcel;24180;N/A
01372;Saint-Martin-de-Bavel;23700;N/A
01373;Saint-Martin-du-Frêne;23730;N/A
01374;Saint-Martin-du-Mont;24280;N/A
01375;Saint-Martin-le-Châtel;23470;N/A
01376;Saint-Maurice-de-Beynost;22620;77.4
01378;Saint-Maurice-de-Gourdans;26050;83.6
01379;Saint-Maurice-de-Rémens;21890;N/A
01380;Saint-Nizier-le-Bouchoux;21440;N/A
01381;Saint-Nizier-le-Désert;22280;N/A
01382;Sainte-Olive;25900;N/A
01383;Saint-Paul-de-Varax;21820;N/A
01384;Saint-Rambert-en-Bugey;18690;N/A
01385;Saint-Rémy;25650;N/A
01386;Saint-Sorlin-en-Bugey;25180;N/A
01387;Saint-Sulpice;21840;N/A
01388;Saint-Trivier-de-Courtes;20640;N/A
01389;Saint-Trivier-sur-Moignans;22710;N/A
01390;Saint-Vulbas;23520;N/A
01391;Salavre;22130;N/A
01392;Samognat;24900;N/A
01393;Sandrans;23440;N/A
01396;Sault-Brénaz;19920;N/A
01397;Sauverny;39800;N/A
01398;Savigneux;24700;N/A
01399;Ségny;41650;N/A
01400;Seillonnaz;22750;N/A
01401;Sergy;42980;N/A
01402;Sermoyer;21380;N/A
01403;Serrières-de-Briord;21380;N/A
01404;Serrières-sur-Ain;24210;N/A
01405;Servas;21050;N/A
01406;Servignat;22120;N/A
01407;Seyssel;22560;N/A
01408;Simandre-sur-Suran;22620;N/A
01410;Sonthonnax-la-Montagne;25920;N/A
01411;Souclin;23730;N/A
01412;Sulignat;22660;N/A
01415;Talissieu;23280;N/A
01416;Tenay;19100;N/A
01418;Thil;29650;N/A
01419;Thoiry;36310;87.6
01420;Thoissey;19130;N/A
01421;Torcieu;21800;N/A
01422;Tossiat;24790;N/A
01423;Toussieux;25380;N/A
01424;Tramoyes;29470;N/A
01425;La Tranclière;23850;N/A
01426;Val-Revermont;23170;77.8
01427;Trévoux;22030;79.9
01428;Valeins;23180;N/A
01429;Vandeins;23630;N/A
01430;Varambon;22100;N/A
01431;Vaux-en-Bugey;24020;N/A
01432;Verjon;23220;N/A
01433;Vernoux;19270;N/A
01434;Versailleux;23580;N/A
01435;Versonnex;37520;91.6
01436;Vesancy;38920;N/A
01437;Vescours;20370;N/A
01439;Vésines;N/A;N/A
01441;Vieu-d'Izenave;22060;N/A
01443;Villars-les-Dombes;23450;75.5
01444;Villebois;21500;N/A
01445;Villemotier;22000;N/A
01446;Villeneuve;24510;N/A
01447;Villereversure;21320;N/A
01448;Villes;30470;N/A
01449;Villette-sur-Ain;24960;N/A
01450;Villieu-Loyes-Mollon;25580;83.7
01451;Viriat;23890;72
01452;Virieu-le-Grand;19440;N/A
01453;Arvière-en-Valromey;21970;N/A
01454;Virignin;21900;N/A
01456;Vongnes;N/A;N/A
01457;Vonnas;21220;64.6
02001;Abbécourt;19460;N/A
02002;Achery;20960;N/A
02003;Acy;21730;N/A
02004;Agnicourt-et-Séchelles;18930;N/A
02005;Aguilcourt;23480;N/A
02006;Aisonville-et-Bernoville;21760;N/A
02007;Aizelles;24630;N/A
02008;Aizy-Jouy;19890;N/A
02009;Alaincourt;20990;N/A
02010;Allemant;21940;N/A
02011;Ambleny;22910;N/A
02012;Ambrief;N/A;N/A
02013;Amifontaine;21210;N/A
02014;Amigny-Rouy;22020;N/A
02015;Ancienville;N/A;N/A
02016;Andelain;19980;N/A
02017;Anguilcourt-le-Sart;20490;N/A
02018;Anizy-le-Grand;19790;64.6
02019;Annois;20350;N/A
02020;Any-Martin-Rieux;19360;N/A
02021;Archon;N/A;N/A
02022;Arcy-Sainte-Restitue;20730;N/A
02023;Armentières-sur-Ourcq;N/A;N/A
02024;Arrancy;N/A;N/A
02025;Artemps;22090;N/A
02027;Assis-sur-Serre;20430;N/A
02028;Athies-sous-Laon;21650;71.8
02029;Attilly;22580;N/A
02030;Aubencheul-aux-Bois;20100;N/A
02031;Aubenton;16870;N/A
02032;Aubigny-aux-Kaisnes;19060;N/A
02033;Aubigny-en-Laonnois;N/A;N/A
02034;Audignicourt;21610;N/A
02035;Audigny;17060;N/A
02036;Augy;N/A;N/A
02037;Aulnois-sous-Laon;21160;N/A
02038;Les Autels;N/A;N/A
02039;Autremencourt;18210;N/A
02040;Autreppes;18660;N/A
02041;Autreville;22330;N/A
02042;Azy-sur-Marne;22610;N/A
02043;Bagneux;N/A;N/A
02044;Bancigny;N/A;N/A
02046;Barenton-Bugny;21190;N/A
02047;Barenton-Cel;21520;N/A
02048;Barenton-sur-Serre;22370;N/A
02049;Barisis-aux-Bois;21980;N/A
02050;Barzy-en-Thiérache;18990;N/A
02051;Barzy-sur-Marne;23820;N/A
02052;Bassoles-Aulers;20780;N/A
02053;Vallées en Champagne;25190;N/A
02054;Bazoches-sur-Vesles;21410;N/A
02055;Beaumé;N/A;N/A
02056;Beaumont-en-Beine;20650;N/A
02057;Beaurevoir;17830;N/A
02058;Beaurieux;19870;N/A
02059;Beautor;16310;58.4
02060;Beauvois-en-Vermandois;21330;N/A
02061;Becquigny;18940;N/A
02062;Belleau;23890;N/A
02063;Bellenglise;20250;N/A
02064;Belleu;19200;62.2
02065;Bellicourt;19730;N/A
02066;Benay;21420;N/A
02067;Bergues-sur-Sambre;20640;N/A
02068;Berlancourt;N/A;N/A
02069;Berlise;15790;N/A
02070;Bernot;20150;N/A
02071;Berny-Rivière;23090;N/A
02072;Berrieux;24790;N/A
02073;Berry-au-Bac;21690;N/A
02074;Bertaucourt-Epourdon;20780;N/A
02075;Berthenicourt;23820;N/A
02076;Bertricourt;24040;N/A
02077;Berzy-le-Sec;22860;N/A
02078;Besmé;18310;N/A
02079;Besmont;18760;N/A
02080;Besny-et-Loizy;24750;N/A
02081;Béthancourt-en-Vaux;21280;N/A
02082;Beugneux;22990;N/A
02083;Beuvardes;21820;N/A
02084;Bézu-le-Guéry;24770;N/A
02085;Bézu-Saint-Germain;21800;N/A
02086;Bichancourt;20870;N/A
02087;Bieuxy;N/A;N/A
02088;Bièvres;N/A;N/A
02089;Billy-sur-Aisne;21230;N/A
02090;Billy-sur-Ourcq;22820;N/A
02091;Blanzy-lès-Fismes;N/A;N/A
02093;Blérancourt;18960;N/A
02094;Blesmes;23290;N/A
02095;Bohain-en-Vermandois;15160;54
02096;Bois-lès-Pargny;22610;N/A
02097;Boncourt;19350;N/A
02098;Bonneil;26100;N/A
02099;Bonnesvalyn;23200;N/A
02100;Bony;19660;N/A
02101;Bosmont-sur-Serre;20650;N/A
02102;Bouconville-Vauclair;21870;N/A
02103;Boué;18960;N/A
02104;Bouffignereux;26350;N/A
02105;Bouresches;20720;N/A
02106;Bourg-et-Comin;18650;N/A
02107;Bourguignon-sous-Coucy;N/A;N/A
02108;Bourguignon-sous-Montbavin;24120;N/A
02109;La Bouteille;19990;N/A
02110;Braine;18960;65.9
02111;Brancourt-en-Laonnois;21700;N/A
